match_id,date,year,format,opponent,venue,toss_winner,toss_decision,pak_innings,pak_runs,pak_wickets,opp_wickets,overs_played,run_rate,first_innings_score,second_innings_score,winner_innings,top_scorer,top_scorer_runs,top_wicket_taker,top_wickets,result
1,2015-01-10,2015,T20,New Zealand,Rawalpindi Cricket Stadium,New Zealand,Field,1st,156,4,8,8.1,19.26,156,138,1st,Babar Azam,71,Haris Rauf,3,Win
2,2015-01-16,2015,T20,Sri Lanka,Lahore (Gaddafi),Pakistan,Bat,1st,126,5,3,10.8,11.67,126,91,1st,Mohammad Rizwan,53,Abrar Ahmed,3,Win
3,2015-01-27,2015,ODI,West Indies,Karachi (NSK),West Indies,Bat,2nd,231,4,3,21.3,10.85,266,231,1st,Salman Agha,72,Imad Wasim,3,Loss
4,2015-03-04,2015,ODI,South Africa,Rawalpindi Cricket Stadium,South Africa,Bat,2nd,297,6,7,27.8,10.68,312,297,1st,Babar Azam,103,Haris Rauf,3,Loss
5,2015-03-10,2015,ODI,Zimbabwe,Sharjah Cricket Stadium,Zimbabwe,Field,1st,270,9,8,43.2,6.25,270,273,2nd,Shan Masood,103,Imad Wasim,4,Loss
6,2015-04-08,2015,Test,Sri Lanka,Sharjah Cricket Stadium,Sri Lanka,Field,1st,393,4,7,75.4,5.21,393,366,1st,Imam-ul-Haq,157,Shadab Khan,4,Win
7,2015-04-28,2015,Test,West Indies,Multan Cricket Stadium,West Indies,Field,1st,286,9,10,68.7,4.16,286,294,2nd,Shan Masood,87,Haris Rauf,2,Loss
8,2015-05-06,2015,T20,West Indies,Abu Dhabi (ADSS),Pakistan,Bat,1st,134,7,7,13.3,10.08,134,141,2nd,Babar Azam,36,Naseem Shah,5,Loss
9,2015-05-24,2015,Test,England,Lahore (Gaddafi),Pakistan,Bat,1st,382,3,10,115.5,3.31,382,354,1st,Fakhar Zaman,116,Imad Wasim,2,Win
10,2015-06-06,2015,Test,England,Dubai International,Pakistan,Bat,1st,351,7,7,86.6,4.05,351,352,2nd,Abdullah Shafique,135,Zaman Khan,3,Loss
11,2015-06-09,2015,T20,Bangladesh,Karachi (NSK),Pakistan,Field,2nd,159,9,6,18.0,8.83,147,159,2nd,Abdullah Shafique,82,Shadab Khan,1,Win
12,2015-06-13,2015,Test,New Zealand,Eden Gardens,New Zealand,Bat,2nd,443,3,10,97.9,4.53,475,443,1st,Fakhar Zaman,157,Shadab Khan,4,Loss
13,2015-07-01,2015,T20,New Zealand,Eden Gardens,New Zealand,Field,1st,125,6,6,10.7,11.68,125,131,2nd,Imam-ul-Haq,35,Haris Rauf,1,Loss
14,2015-07-03,2015,T20,England,Karachi (NSK),Pakistan,Bat,1st,170,7,3,14.3,11.89,170,146,1st,Mohammad Rizwan,59,Haris Rauf,1,Win
15,2015-07-06,2015,Test,West Indies,Wanderers,Pakistan,Field,2nd,282,8,8,110.8,2.55,282,282,None,Shan Masood,131,Zaman Khan,4,Draw
16,2015-07-12,2015,Test,England,Basin Reserve,England,Bat,2nd,399,10,10,96.1,4.15,423,399,1st,Salman Agha,118,Mohammad Wasim Jr,1,Loss
17,2015-08-01,2015,ODI,Zimbabwe,Sharjah Cricket Stadium,Pakistan,Field,2nd,315,5,3,26.8,11.75,341,315,1st,Salman Agha,128,Zaman Khan,3,Loss
18,2015-08-06,2015,ODI,West Indies,Basin Reserve,Pakistan,Field,2nd,313,3,9,17.0,18.41,0,313,None,Mohammad Rizwan,104,Abrar Ahmed,2,No Result
19,2015-08-23,2015,Test,Sri Lanka,Multan Cricket Stadium,Pakistan,Bat,1st,465,6,8,135.5,3.43,465,466,2nd,Fakhar Zaman,150,Shaheen Afridi,2,Loss
20,2015-09-13,2015,ODI,England,Dubai International,England,Bat,2nd,218,3,5,14.4,15.14,263,218,1st,Mohammad Rizwan,88,Mohammad Wasim Jr,4,Loss
21,2015-09-28,2015,T20,South Africa,Eden Gardens,Pakistan,Field,2nd,215,6,6,12.0,17.92,212,215,2nd,Saud Shakeel,90,Haris Rauf,4,Win
22,2015-10-16,2015,T20,West Indies,Lord's,Pakistan,Bat,1st,155,7,6,13.7,11.31,155,131,1st,Abdullah Shafique,80,Zaman Khan,6,Win
23,2015-11-02,2015,ODI,Sri Lanka,Multan Cricket Stadium,Pakistan,Bat,1st,296,9,6,43.9,6.74,296,267,1st,Babar Azam,128,Naseem Shah,4,Win
24,2015-11-02,2015,ODI,Zimbabwe,Lahore (Gaddafi),Pakistan,Bat,1st,328,10,6,49.5,6.63,328,331,2nd,Imam-ul-Haq,128,Imad Wasim,5,Loss
25,2015-11-02,2015,Test,West Indies,Wanderers,Pakistan,Field,2nd,348,6,7,86.6,4.02,369,348,1st,Imam-ul-Haq,108,Naseem Shah,3,Loss
26,2015-11-04,2015,T20,India,Sharjah Cricket Stadium,Pakistan,Bat,1st,155,10,8,19.0,8.16,155,114,1st,Babar Azam,63,Mohammad Wasim Jr,6,Win
27,2015-11-09,2015,Test,New Zealand,Abu Dhabi (ADSS),Pakistan,Field,2nd,456,3,9,79.4,5.74,456,456,None,Imam-ul-Haq,222,Shadab Khan,4,Draw
28,2016-01-02,2016,T20,Bangladesh,Karachi (NSK),Bangladesh,Field,1st,170,8,5,16.6,10.24,170,134,1st,Abdullah Shafique,28,Abrar Ahmed,2,Win
29,2016-01-04,2016,ODI,New Zealand,Basin Reserve,Pakistan,Bat,1st,168,7,8,33.9,4.96,168,178,2nd,Imam-ul-Haq,100,Mohammad Wasim Jr,3,Loss
30,2016-01-10,2016,Test,South Africa,Lord's,South Africa,Field,1st,545,9,8,100.5,5.42,545,549,2nd,Shan Masood,209,Shadab Khan,5,Loss
31,2016-02-25,2016,T20,Bangladesh,Rawalpindi Cricket Stadium,Bangladesh,Field,1st,187,9,7,19.1,9.79,187,152,1st,Salman Agha,63,Mohammad Wasim Jr,4,Win
32,2016-02-27,2016,T20,South Africa,Lahore (Gaddafi),Pakistan,Bat,1st,193,10,5,20.0,9.65,193,192,1st,Abdullah Shafique,76,Imad Wasim,2,Win
33,2016-02-28,2016,ODI,Sri Lanka,Basin Reserve,Sri Lanka,Field,1st,238,9,5,43.6,5.46,238,204,1st,Imam-ul-Haq,90,Naseem Shah,5,Win
34,2016-03-18,2016,ODI,West Indies,Sharjah Cricket Stadium,West Indies,Field,1st,178,10,6,50.0,3.56,178,180,2nd,Abdullah Shafique,76,Naseem Shah,3,Loss
35,2016-03-20,2016,T20,England,Lahore (Gaddafi),England,Field,1st,125,7,7,12.4,10.08,125,130,2nd,Abdullah Shafique,35,Zaman Khan,3,Loss
36,2016-04-14,2016,Test,Afghanistan,Karachi (NSK),Pakistan,Field,2nd,415,6,8,108.2,3.84,452,415,1st,Babar Azam,198,Abrar Ahmed,2,Loss
37,2016-04-22,2016,ODI,Afghanistan,Dubai International,Pakistan,Field,2nd,303,6,7,28.7,10.56,299,303,2nd,Babar Azam,95,Haris Rauf,3,Win
38,2016-05-02,2016,T20,Afghanistan,Rawalpindi Cricket Stadium,Pakistan,Field,2nd,132,8,8,16.4,8.05,131,132,2nd,Babar Azam,52,Naseem Shah,3,Win
39,2016-05-02,2016,T20,England,Rawalpindi Cricket Stadium,England,Bat,2nd,183,9,3,18.5,9.89,176,183,2nd,Mohammad Rizwan,64,Zaman Khan,3,Win
40,2016-05-09,2016,Test,Afghanistan,Sharjah Cricket Stadium,Pakistan,Bat,1st,369,4,6,87.6,4.21,369,346,1st,Saud Shakeel,132,Abrar Ahmed,4,Win
41,2016-05-24,2016,ODI,Afghanistan,MCG,Afghanistan,Bat,2nd,261,10,3,50.0,5.22,271,261,1st,Abdullah Shafique,65,Abrar Ahmed,2,Loss
42,2016-05-25,2016,T20,Bangladesh,Lahore (Gaddafi),Bangladesh,Bat,2nd,178,7,4,13.7,12.99,169,178,2nd,Salman Agha,50,Haris Rauf,4,Win
43,2016-06-01,2016,Test,Sri Lanka,Lahore (Gaddafi),Sri Lanka,Field,1st,424,3,5,53.8,7.88,424,426,2nd,Babar Azam,172,Shadab Khan,5,Loss
44,2016-06-04,2016,T20,Australia,MCG,Pakistan,Bat,1st,165,9,3,16.3,10.12,165,123,1st,Shan Masood,42,Haris Rauf,3,Win
45,2016-06-10,2016,T20,England,Eden Gardens,England,Field,1st,174,5,4,10.0,17.4,174,0,None,Salman Agha,70,Mohammad Wasim Jr,2,No Result
