player,role,year,format,matches,innings,runs,batting_avg,strike_rate,hundreds,fifties,wickets,bowling_avg,economy,five_wickets,powerplay_runs,powerplay_balls,powerplay_wickets,powerplay_economy,middle_runs,middle_balls,middle_wickets,middle_economy,death_runs,death_balls,death_wickets,death_economy
Babar Azam,Batter,2015,T20,12,12,615,51.25,133.5,1,6,0,44.89,7.31,0,246,181,0,0.0,255,193,0,0.0,114,67,0,0.0
Babar Azam,Batter,2015,ODI,14,14,586,41.86,79.6,1,5,4,43.83,5.56,0,221,273,0,0.0,279,355,0,0.0,86,85,0,0.0
Babar Azam,Batter,2015,Test,19,38,526,13.84,64.7,1,5,8,41.95,2.37,1,181,275,0,0.0,249,390,0,0.0,96,116,0,0.0
Babar Azam,Batter,2016,T20,7,7,640,91.43,137.0,1,5,0,45.85,7.22,1,229,164,0,0.0,278,206,0,0.0,133,76,0,0.0
Babar Azam,Batter,2016,ODI,5,5,353,70.6,85.7,1,3,15,43.74,4.97,1,143,164,0,0.0,162,191,0,0.0,48,44,0,0.0
Babar Azam,Batter,2016,Test,10,20,276,13.8,54.5,1,2,14,49.2,2.75,0,109,196,0,0.0,134,249,0,0.0,33,47,0,0.0
Babar Azam,Batter,2017,T20,13,13,620,47.69,134.7,1,6,0,38.58,7.25,0,219,160,0,0.0,276,208,0,0.0,125,73,0,0.0
Babar Azam,Batter,2017,ODI,10,10,419,41.9,115.6,1,4,8,45.93,5.22,0,163,138,0,0.0,200,175,0,0.0,56,38,0,0.0
Babar Azam,Batter,2017,Test,8,16,734,45.88,77.9,2,7,3,40.13,3.72,0,271,342,0,0.0,332,432,0,0.0,131,132,0,0.0
Babar Azam,Batter,2018,T20,9,9,644,71.56,138.1,1,5,10,37.83,8.08,1,227,161,0,0.0,267,196,0,0.0,150,85,0,0.0
Babar Azam,Batter,2018,ODI,5,5,504,100.8,73.2,2,4,2,45.14,5.79,0,194,261,0,0.0,223,309,0,0.0,87,93,0,0.0
Babar Azam,Batter,2018,Test,8,16,452,28.25,63.2,1,4,5,46.69,3.46,0,152,236,0,0.0,192,308,0,0.0,108,134,0,0.0
Babar Azam,Batter,2019,T20,5,5,519,103.8,133.6,2,5,6,64.65,7.13,1,217,159,0,0.0,262,199,0,0.0,40,23,0,0.0
Babar Azam,Batter,2019,ODI,14,14,579,41.36,89.0,1,5,9,47.11,5.25,0,245,271,0,0.0,293,334,0,0.0,41,36,0,0.0
Babar Azam,Batter,2019,Test,10,20,745,37.25,47.2,2,6,9,42.3,3.96,1,287,598,0,0.0,319,686,0,0.0,139,232,0,0.0
Babar Azam,Batter,2020,T20,9,9,560,62.22,138.5,1,4,0,45.68,7.16,0,215,152,0,0.0,269,197,0,0.0,76,43,0,0.0
Babar Azam,Batter,2020,ODI,16,16,678,42.38,77.9,2,5,0,49.43,5.31,0,247,312,0,0.0,279,363,0,0.0,152,153,0,0.0
